
srno,Year,Institute type,Gender,Institute,Branch,Duration,Degree,Category,Opening rank,Closing rank
41300,2021,NIT,1,HS,Female-Only,NIT-Jalandhar,Civil Engineering,4 Years,B.Tech,OBC-NCL,46015,54452,0
41301,2021,NIT,1,HS,Gender-Neutral,NIT-Jalandhar,Civil Engineering,4 Years,B.Tech,SC,7826,8445,0
41302,2021,NIT,1,HS,Female-Only,NIT-Jalandhar,Civil Engineering,4 Years,B.Tech,SC,8256,8256,0
41303,2021,NIT,1,HS,Gender-Neutral,NIT-Jalandhar,Civil Engineering,4 Years,B.Tech,ST,5107,5107,0
41304,2021,NIT,1,HS,Female-Only,NIT-Jalandhar,Civil Engineering,4 Years,B.Tech,ST,12863,12863,0
41305,2021,NIT,1,OS,Gender-Neutral,NIT-Jalandhar,Civil Engineering,4 Years,B.Tech,GEN,25414,30064,0
41306,2021,NIT,1,OS,Female-Only,NIT-Jalandhar,Civil Engineering,4 Years,B.Tech,GEN,36652,40193,0
41307,2021,NIT,1,OS,Female-Only,NIT-Jalandhar,Civil Engineering,4 Years,B.Tech,GEN-PWD,1868,1868,0
41308,2021,NIT,1,OS,Gender-Neutral,NIT-Jaipur,Architecture,5 Years,B.Arch,OBC-NCL,321,399,0
41309,2021,NIT,1,HS,Gender-Neutral,NIT-Jalandhar,Bio Technology,4 Years,B.Tech,GEN,37494,57572,0
41310,2021,NIT,1,HS,Female-Only,NIT-Jalandhar,Bio Technology,4 Years,B.Tech,GEN,49697,53440,0
41311,2021,NIT,1,HS,Gender-Neutral,NIT-Jalandhar,Bio Technology,4 Years,B.Tech,GEN-EWS,10732,13606,0
41312,2021,NIT,1,HS,Gender-Neutral,NIT-Jalandhar,Bio Technology,4 Years,B.Tech,OBC-NCL,37236,62238,0
41313,2021,NIT,1,HS,Female-Only,NIT-Jalandhar,Bio Technology,4 Years,B.Tech,OBC-NCL,64649,84586,0
41314,2021,NIT,1,HS,Gender-Neutral,NIT-Jalandhar,Bio Technology,4 Years,B.Tech,SC,5327,12289,0
41315,2021,NIT,1,HS,Female-Only,NIT-Jalandhar,Bio Technology,4 Years,B.Tech,SC,11441,11441,0
41316,2021,NIT,1,OS,Gender-Neutral,NIT-Jalandhar,Bio Technology,4 Years,B.Tech,GEN,25373,35798,0
41317,2021,NIT,1,OS,Female-Only,NIT-Jalandhar,Bio Technology,4 Years,B.Tech,GEN,29677,37856,0
41318,2021,NIT,1,OS,Gender-Neutral,NIT-Jalandhar,Bio Technology,4 Years,B.Tech,GEN-EWS,5690,5770,0
41319,2021,NIT,1,OS,Female-Only,NIT-Jalandhar,Bio Technology,4 Years,B.Tech,GEN-EWS,7579,7579,0
41320,2021,NIT,1,OS,Gender-Neutral,NIT-Jalandhar,Bio Technology,4 Years,B.Tech,OBC-NCL,9684,11405,0
41321,2021,NIT,1,OS,Female-Only,NIT-Jalandhar,Bio Technology,4 Years,B.Tech,OBC-NCL,16513,16513,0
41322,2021,NIT,1,OS,Gender-Neutral,NIT-Jalandhar,Bio Technology,4 Years,B.Tech,SC,2836,6794,0
41323,2021,NIT,1,OS,Female-Only,NIT-Jalandhar,Bio Technology,4 Years,B.Tech,SC,6026,6026,0
41324,2021,NIT,1,OS,Gender-Neutral,NIT-Jalandhar,Bio Technology,4 Years,B.Tech,ST,2585,2672,0
41325,2021,NIT,1,OS,Female-Only,NIT-Jalandhar,Bio Technology,4 Years,B.Tech,ST,3068,3068,0
