College Name,Branch Name,Cutoff Rank,City,OPEN Percentile,SC Percentile,ST Percentile,NT1 Percentile,OBC Percentile,EWS Percentile,TWFS Percentile
Channabasweshwar Pharmacy College ( Degree),Pharmacy,7699,Latur,89.58,83.38,46.23,86.52,85.42,91.94,95.21
Vilasrao Deshmukh Foundation Group of Institutions,Pharmacy,17153,Latur,79.01,65.02,64.49,78.99,73.02,81.26,89.42
Oyster Institute of Pharmacy,Pharmacy,17533,Aurangabad,78.77,68.43,22.40,82.46,92.98,84.41,94.67
Latur College of Pharmacy,Pharmacy,21037,Latur,74.56,64.31,47.41,66.92,67.46,82.59,89.42
Rajesh Bhaiyya Tope College of Pharmacy,Pharmacy,26765,Aurangabad,66.96,53.11,29.79,62.48,49.05,72.25,87.05
Sarswati Institute of Pharmacy,Pharmacy,30697,Hingoli,61.43,0.12,43.11,52.60,15.64,67.71,88.44
Aditya Diploma Institute of Pharmacy,Pharmacy,38746,Beed,44.92,17.47,2.24,5.59,23.95,61.85,65.17
Aditya Pharmacy College,Pharm D,39244,Beed,44.41,71.25,71.78,67.55,77.99,69.30,90.06
Aditya Pharmacy College,Pharmacy,38333,Beed,45.94,14.01,7.54,33.87,36.60,56.56,71.80
Shriganesh Ramchandra Katruwar College of Pharmacy,Pharmacy,37819,Manwath,47.41,44.48,26.75,32.60,14.77,67.58,77.60
Late Bhagirathi Yashwantrao Pathrikar College of D.Pharmacy,Pharmacy,32776,Pathri,57.78,26.89,6.45,36.52,34.52,66.81,82.38
Prerana Institute of Pharmacy(D.Pharmacy),Pharmacy,21833,Parbhani,73.58,65.11,57.54,52.60,47.74,76.08,80.73
Mauli College of Pharmacy(B.Pharm)Tondar,Pharmacy,37030,Udgir,49.22,42.11,36.01,24.16,23.44,51.31,64.45
Rajashri Shahu College of Pharmacy,Pharmacy,31110,Markhel,61.03,56.39,26.15,53.20,58.26,61.03,82.33
Anand Charitable Sanstha's College of Pharmaceutical Science & Research,Pharmacy,32026,Ashti,59.08,37.99,26.15,58.80,55.81,64.09,84.05
ajesh Bhaiyya Tope College of B Pharmacy,Pharmacy,27053,Aurangbad,66.88,61.25,16.38,61.17,40.81,74.56,80.73
Shri Sai Janvikas Pratisthan's R.P. College of Pharmacy,Pharmacy,34560,Osmanabad,54.34,3.17,5.88,52.43,46.23,66.82,76.07
Shri. Dhaneshwari Manav Vikas Mandal's S.V.P. College of Pharmacy,Pharmacy,35932,Hingoli,51.31,16.38,30.15,48.04,26.23,68.43,78.77
Yashodeep Institute of Pharmacy, Pimpalgaon Pandhari,Pharmacy,33013,Aurangabad,57.54,34.52,38.26,46.23,61.03,64.51,82.05
Shreeyash Institute of Pharmaceutical Education & Research,Pharmacy,13975,Aurangabad,82.41,76.08,1.74,80.06,82.38,85.41,90.65
Durgamata Institute of Pharmacy, Darmapuri,Pharmacy,33205,Parbhani,56.73,4.61,29.41,40.42,15.93,64.77,79.64
VSS Institute of Pharmacy,Pharmacy,37621,Badnapur,48.04,5.21,7.34,22.40,19.70,69.10,73.06
Dayanand Education Society's Dayanand Institute of Pharmacy,Pharmacy,15114,Latur,81.26,66.82,77.51,76.08,76.55,84.33,89.93
Godavari Institute of Pharmacy,Pharmacy,37243,Latur,49.05,17.94,3.39,40.33,52.60,67.46,77.49
D.K. Patil Institute of Pharmacy Loha,Pharmacy,27772,Nanded,65.17,58.68,7.53,49.88,43.24,67.35,83.82
Shri.Ramkrishna Paramhans college of Pharmacy,Pharmacy,45176,Parbhani,22.35,14.77,12.86,13.54,7.53,55.56,66.96
